trans_inquiry_type_col,count,,,,,,,
quotation or purchase consultation,42138,,,,,,,
sales inquiry,9981,,,,,,,
product information,1237,,,,,,,
usage or technical consultation,1190,,,,,,,
other,1180,,,,,,,test셋 전처리 필요(3가지 존재)
,941,,,,,,,
trainings,434,,,,,,,
technical consultation,433,,,,,,,
services,415,,,,,,,
request for partnership,297,,,,,,,
request for quotation or purchase,230,,,,,,,
etc.,221,,,,,,,
request a demo,184,,,,,,,
technical support,110,,,,,,,
sales,100,,,,,,,
request for distributorship,75,,,,,,,
request for technical consulting,37,,,,,,,
customer suggestions,12,,,,,,,
purchase or quotation,10,,,,,,,
idb,10,,,,,,,
technical,8,,,,,,,
purchase,5,,,,,,,
event inquiry,5,,,,,,,
oem/odm request,5,,,,,,,
media inquiry,2,,,,,,,
video wall,2,,,,,,,
tôi cần tham khảo giá và giải pháp từ lg,2,베트남,LG에서 가격과 솔루션을 상담받아야겠어요,,,,,
"toi muon tim hieu thong tin ky thuat, gia ca cua sp de su dung",2,베트남,사용하실 제품의 디자인과 가격정보를 알고 싶습니다.,,,,,
vui lòng báo giá giúp mình sản phẩm đo thân nhiệt xin cảm ơn,2,베트남,체온측정제품 가격 견적 부탁드립니다. 감사합니다,,,,,
probeam precio,2,라틴어,가격을 시험해 보겠습니다,,,,,
standalone,1,,,,,,,
led signage,1,,,,,,,
for school,1,,,,,,,
not specified,1,,,,,,,
preciso de um monitor médico para radiografia convencional e tomogrtafia.,1,포르투갈,일반 방사선 촬영 및 단층 촬영을 위한 의료용 모니터가 필요합니다.,,,,,
intégrateur historique du george v,1,프랑스,조지 5세의 역사적 통합자,,,,,
vrf,1,,가상 라우팅과 포워딩,,,,,
solicito apoyo para realizar cotizacion de los dispositivos que ofrecen en la solución one quick: ,1,스페인,One Quick 솔루션에서 제공되는 장치에 대한 견적을 요청합니다.,,,,,
pantallas interactivas para clinicas,1,스페인,진료소용 대화형 화면,,,,,
hotel tv products,1,,,,,,,
digital platform,1,,,,,,,
window facing product,1,,,,,,,
hola me pueden cotizar 19 pantallas interactivas de 100 pulgadas entregadas en guayaquil -ecuador.,1,스페인,안녕하세요. 에콰도르의 과야킬에서 배송된 100인치 대화형 스크린 19개를 인용해 주실 수 있나요?,,,,,
(select id needs),1,,,,,,,
one quick:flex,1,,,,,,,
aio,1,,,일체형 개인 컴퓨터,,,,
needs,1,,,,,,,
hospital tv,1,,,,,,,
i want to know the details about it,1,,,,,,,
educational equipments,1,,,,,,,
tv interactive,1,,,,,,,
teach,1,,,,,,,
display textbook and photos,1,,,,,,,
high inch 86 / 98 or 110,1,,,,,,,
quotation ,1,,,,,,,
display product,1,,,,,,,
first info and pricing,1,,,,,,,
"estoy buscando para ecuador este producto lg magnit micro led, para un cliente de 138 pulgadas, con envió marítimo.",1,스페인,저는 해상 배송이 가능한 138인치 클라이언트를 위해 에콰도르에서 이 LG MAGNIT 마이크로 LED 제품을 찾고 있습니다.,,,,,
evento sdelestero,1,포르투갈,sdelestero 이벤트,,,,,
